AB型血	AB型血 🆎
托克勞群島	托克勞群島 🇹🇰
托巴哥	托巴哥 🇹🇹
托腮	托腮 🤔
托運	托運 🛄
扣在一起	扣在一起 🖇
扭偈	扭偈 😠 😡 😾 🙎 🙎🏻 🙎🏼 🙎🏽 🙎🏾 🙎🏿
扭計	扭計 😠 😡 😾 🙎 🙎🏻 🙎🏼 🙎🏽 🙎🏾 🙎🏿
扳手	扳手 🔧 🛠
找換	找換 💱
找死	找死 😾
投影	投影 📽
投影儀	投影儀 📽
投影機	投影機 📽
投票	投票 ☑ 🗳
投票箱	投票箱 🗳
折線	折線 〽
抛錨	抛錨 ⚓
披薩	披薩 🍕
抱	抱 🤗
抱抱	抱抱 🤗
抽煙	抽煙 🚬
抽菸	抽菸 🚬
拇指	拇指 👍 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿 👎 👎🏻 👎🏼 👎🏽 👎🏾 👎🏿
拉丁	拉丁 🔤
拉弓	拉弓 🏹
拉拉	拉拉 👭
拉炮	拉炮 🎉
拉脫維亞	拉脫維亞 🇱🇻
拉鏈	拉鏈 🤐
拉麵	拉麵 🍜
拍戲	拍戲 🎬
拍手	拍手 👏 👏🏻 👏🏼 👏🏽 👏🏾 👏🏿
拍板	拍板 🎬
拍照	拍照 📷 📸
拍電影	拍電影 🎬
拖手	拖手 👫 👬 👭
拖拉機	拖拉機 🚜
招呼	招呼 🙋 🙋🏻 🙋🏼 🙋🏽 🙋🏾 🙋🏿
招手	招手 🙋
拜神	拜神 🙏 🙏🏻 🙏🏼 🙏🏽 🙏🏾 🙏🏿
拳	拳 ✊ ✊🏻 ✊🏼 ✊🏽 ✊🏾 ✊🏿 👊 👊🏻 👊🏼 👊🏽 👊🏾 👊🏿 🤛 🤛🏻 🤛🏼 🤛🏽 🤛🏾 🤛🏿 🤜 🤜🏻 🤜🏼 🤜🏽 🤜🏾 🤜🏿
拳擊	拳擊 👊 👊🏻 👊🏼 👊🏽 👊🏾 👊🏿 🥊
拳頭	拳頭 👊
指	指 🈯
指數	指數 💹
指環	指環 💍
指甲	指甲 💅 💅🏻 💅🏼 💅🏽 💅🏾 💅🏿
按摩	按摩 💆 💆🏻 💆🏼 💆🏽 💆🏾 💆🏿
按鈕	按鈕 🔘
挎包	挎包 👜
挑戰	挑戰 🆚
挖	挖 ⛏
挪威	挪威 🇳🇴
振動	振動 📳
振動模式	振動模式 📳
捂嘴	捂嘴 🙊
捂耳朵	捂耳朵 🙉
捲	捲 ➰ ➿
捲動	捲動 📜
捲曲	捲曲 ➰ ➿
捲毛	捲毛 ➰ ➿
捲蝦	捲蝦 🍤
捲餅	捲餅 🌮 🌯
捷克	捷克 🇨🇿
捷克共和國	捷克共和國 🇨🇿
捷運	捷運 🚇
掂	掂 🆗
掉	掉 🚮
掉垃圾	掉垃圾 🚮 🚯
掌	掌 🐾
掌印	掌印 🐾
排球	排球 🏐
掛曆	掛曆 🗓
掟飛鏢	掟飛鏢 🎯
探長	探長 🕵
掣	掣 🔘 🔺 🔻
接受	接受 👐 👐🏻 👐🏼 👐🏽 👐🏾 👐🏿
接吻	接吻 😘
接納	接納 👐 👐🏻 👐🏼 👐🏽 👐🏾 👐🏿
控制桿	控制桿 🕹
推杯換盞	推杯換盞 🍻
提款	提款 🏧
提款機	提款機 🏧
提琴	提琴 🎻
提醒	提醒 🔔
插蘇	插蘇 🔌
插頭	插頭 🔌
揚聲器	揚聲器 🔈
揚馬延	揚馬延 🇸🇯
換匯	換匯 💱
換尿片	換尿片 🚼
換屎片	換屎片 🚼
換臉	換臉 🎭
揞	揞 🙈 🙉 🙊
握手	握手 🤝 🤝🏻 🤝🏼 🤝🏽 🤝🏾 🤝🏿
握筆	握筆 ✍
握緊	握緊 ✊ ✊🏻 ✊🏼 ✊🏽 ✊🏾 ✊🏿
揮手	揮手 👋 👋🏻 👋🏼 👋🏽 👋🏾 👋🏿
揮灑	揮灑 💦
揹包	揹包 🎒
揼	揼 ✊ ✊🏻 ✊🏼 ✊🏽 ✊🏾 ✊🏿 👊 👊🏻 👊🏼 👊🏽 👊🏾 👊🏿 💢 🚮 🤛 🤛🏻 🤛🏼 🤛🏽 🤛🏾 🤛🏿 🤜 🤜🏻 🤜🏼 🤜🏽 🤜🏾 🤜🏿
搖桿	搖桿 🕹
搖滾	搖滾 🤘 🤘🏻 🤘🏼 🤘🏽 🤘🏾 🤘🏿
搜尋	搜尋 🔍 🔎
搜索	搜索 🔍 🔎
搭的	搭的 🚖
搵	搵 🔍 🔎
摔角	摔角 🤼 🤼🏻 🤼🏼 🤼🏽 🤼🏾 🤼🏿
摔跤	摔跤 🤼 🤼🏻 🤼🏼 🤼🏽 🤼🏾 🤼🏿
摩天輪	摩天輪 🎡
摩托	摩托 🏍 🛵
摩托艇	摩托艇 🛥
摩托賽車	摩托賽車 🏍
摩托車	摩托車 🏍 🛵
摩洛哥	摩洛哥 🇲🇦
摩爾多瓦	摩爾多瓦 🇲🇩
摩納哥	摩納哥 🇲🇨
摩羯	摩羯 ♑
摩羯座	摩羯座 ♑
撅嘴	撅嘴 😗
撇嘴	撇嘴 😏 😼
撐傘	撐傘 ☔
撐艇	撐艇 🚣 🚣🏻 🚣🏼 🚣🏽 🚣🏾 🚣🏿 🛶
撒拉威阿拉伯	撒拉威阿拉伯 🇪🇭
撞擊	撞擊 💥
撤回	撤回 ↩
撤銷	撤銷 ↩
播放	播放 ⏯ ▶
撲克	撲克 ♠ ♣ ♥ ♦ 🃏
擁抱	擁抱 🤗
擁抱抱一抱	擁抱抱一抱 🤗
擊中	擊中 🎯
擊劍	擊劍 🤺
擊掌	擊掌 🖐
操控桿	操控桿 🕹
操縱桿	操縱桿 🕹
擒青	擒青 😰
擔心	擔心 😟 😨
擔憂	擔憂 😟
擘口	擘口 😦 😮
擘大口	擘大口 😦 😮
擴音器	擴音器 📢 📣
攝像	攝像 🎥 🎦 📹
攝像機	攝像機 🎥 📹
攝影	攝影 🎥 📹
攝影機	攝影機 🎥 📹
攤開	攤開 🖐 🖐🏻 🖐🏼 🖐🏽 🖐🏾 🖐🏿
攪基	攪基 👬
攰	攰 😪
收件	收件 📥
收件匣	收件匣 📥
收件箱	收件箱 📥
收信	收信 📨 📩
收嗲	收嗲 😐 😑 😶 🤐
收穫	收穫 🌾
收聲	收聲 😐 😑 😶 🤐
收費服務	收費服務 🈂
收郵件	收郵件 📨 📩
收音機	收音機 📻
放大鏡	放大鏡 🔍 🔎
放射	放射 ☢
放射性	放射性 ☢
放射線	放射線 ☢
放映	放映 📽
放映機	放映機 📽
放鬆	放鬆 ☺ 😚
敍利亞	敍利亞 🇸🇾
救傷	救傷 🚑
救傷車	救傷車 🚑
救命	救命 🆘 😩
救火	救火 🚒
救火車	救火車 🚒
救護	救護 🚑
救護車	救護車 🚑
敘利亞	敘利亞 🇸🇾
教堂	教堂 ⛪ 💒 🕍
散步	散步 🚶 🚶🏻 🚶🏼 🚶🏽 🚶🏾 🚶🏿
數字	數字 🔢
數字光盤	數字光盤 📀
數字光碟	數字光碟 📀
數字鍵盤	數字鍵盤 🔢
數碼光盤	數碼光盤 📀
數碼光碟	數碼光碟 📀
數簿	數簿 📒
文件	文件 📄
文件夾	文件夾 📁 📂
文件檔	文件檔 📃
文件櫃	文件櫃 🗄
文件箱	文件箱 🗃
文件袋	文件袋 🗂
文書	文書 📃
文檔	文檔 📃 📄
文萊	文萊 🇧🇳
斐濟	斐濟 🇫🇯
斐濟群島	斐濟群島 🇫🇯
斯威士蘭	斯威士蘭 🇸🇿
斯洛伐克	斯洛伐克 🇸🇰
斯洛文尼亞	斯洛文尼亞 🇸🇮
斯洛維尼亞	斯洛維尼亞 🇸🇮
斯瓦巴	斯瓦巴 🇸🇯
斯瓦巴及尖棉島	斯瓦巴及尖棉島 🇸🇯
斯瓦爾巴	斯瓦爾巴 🇸🇯
斯瓦爾巴特	斯瓦爾巴特 🇸🇯
斯瓦爾巴特群島	斯瓦爾巴特群島 🇸🇯
斯瓦爾巴群島和揚馬延	斯瓦爾巴群島和揚馬延 🇸🇯
斯諾克	斯諾克 🎱
斯里蘭卡	斯里蘭卡 🇱🇰
新	新 🆕
新加坡	新加坡 🇸🇬
新喀里多尼亞	新喀里多尼亞 🇳🇨
新喀里多尼亞島	新喀里多尼亞島 🇳🇨
新娘	新娘 👰 👰🏻 👰🏼 👰🏽 👰🏾 👰🏿
新娘子	新娘子 👰
新年	新年 🎆
新幹線	新幹線 🚅
新手	新手 🔰
新月	新月 🌑 🌙 🌚
新款	新款 🆕
新聞	新聞 📰 🗞
新聞紙	新聞紙 📰 🗞
新西蘭	新西蘭 🇳🇿
新郎	新郎 🤵 🤵🏻 🤵🏼 🤵🏽 🤵🏾 🤵🏿
新郵件	新郵件 📭
方塊	方塊 ◻ ◼ ♦ 🔲 🔳
方片	方片 ♦
方程式	方程式 🏎
施工	施工 🚧
旅舍	旅舍 🛌
旅舘	旅舘 🛌
旅行	旅行 🚙
旅館	旅館 🏨 🏩 🛌
旋律	旋律 🎶
旋轉	旋轉 💞
旋轉木馬	旋轉木馬 🎠
旋轉燈	旋轉燈 🚨
旋鈕	旋鈕 🎛
旋風	旋風 🌀
旗	旗 🎌 🏳 🏴 🚩
日	日 🌞
日光	日光 🌞 😎
日出	日出 🌄 🌅
日圓	日圓 💴
日暮	日暮 🌇
日曆	日曆 📅 📆 🗓
日本	日本 🇯🇵 🎎 🏣 🏯 👹 👺 🗾
日本娃娃	日本娃娃 🎎
日本郵局	日本郵局 🏣
日火	日火 👿
日落	日落 🌇
早上好	早上好 🙂
早晨	早晨 🌄 🌅
明亮	明亮 🌞
明星	明星 🌟
星	星 *️⃣ ✳ ✴ ⭐ 🌃 🌟 🌠 💫
星光	星光 🌟
星加坡	星加坡 🇸🇬
星型	星型 ✴
星星	星星 ⭐
星空	星空 🌌
星系	星系 🌌
星號	星號 ✳ ✴
星號鍵	星號鍵 *⃣
春心	春心 💗
是嗎	是嗎 😳
時計	時計 ⏲
晚	晚 🌃 🌉
晚安	晚安 😴
晚星	晚星 🌃
晚黑	晚黑 🌃 🌉
普林西比	普林西比 🇸🇹
晴	晴 ☀ 😎
晴時多雲	晴時多雲 🌤
晴朗	晴朗 ☀
晴空	晴空 ☀
晴轉多雲	晴轉多雲 🌤
智利	智利 🇨🇱
智慧	智慧 😇
暈	暈 🌀 💫 😵 😿
暗	暗 🔅
暫停	暫停 ⏯ ⏸
暮光	暮光 🌆
暮色	暮色 🌆
曉不得	曉不得 😲
曬	曬 😎
曬太陽	曬太陽 😎
曲奇	曲奇 🍪
曲棍球	曲棍球 🏑 🏒
曲譜	曲譜 🎼
曳	曳 👎 👎🏻 👎🏼 👎🏽 👎🏾 👎🏿
曳引機	曳引機 🚜
書	書 📕 📖 📗 📘 📙
書包	書包 🎒
書呆子	書呆子 🤓
書寫	書寫 ✍
書本	書本 📖
書籤	書籤 📑 🔖
曼哈頓	曼哈頓 🗽
曼島	曼島 🇮🇲
月	月 🈷 🌝
月亮	月亮 🌝
月光	月光 🌝
月兒	月兒 🌙
月圓	月圓 🌕
月夜	月夜 🌙
月彎彎	月彎彎 🌛 🌜
月牙	月牙 🌒
月神	月神 🌝
月老	月老 💘
月色	月色 🌙
月芽	月芽 🌛 🌜
月蝕	月蝕 🌑
月食	月食 🌑
月黑風高	月黑風高 🌚
有	有 🈶
有云	有云 ☁
有毒	有毒 ☠
有病	有病 🤒
有軌	有軌 🚊 🚋
有軌電車	有軌電車 🚊 🚋
有郵件	有郵件 📫
有錢	有錢 💰
有錢人	有錢人 💰
有雨	有雨 🌧
有雲	有雲 ☁
有電	有電 ⚡
有霧	有霧 🌁
服務員	服務員 💁 💁🏻 💁🏼 💁🏽 💁🏾 💁🏿
朔	朔 🌑
望	望 🌕
望遠鏡	望遠鏡 🔭
朝陽	朝陽 🌄
朝鮮	朝鮮 🇰🇵
木	木 😐 😑 😳
木偶	木偶 🤥
木口	木口 😐 😑
木槿	木槿 🌺
木面	木面 😐 😑
未瞓醒	未瞓醒 😳
朱古力	朱古力 🍫
朱古力圈	朱古力圈 🍩
朱古力條	朱古力條 🍫
朱古力棒	朱古力棒 🍫
朱古力餅	朱古力餅 🍪
東	東 ➡
東京	東京 🗻 🗼
東京塔	東京塔 🗼
東京鐵塔	東京鐵塔 🗼
東加	東加 🇹🇴
東北	東北 ↗
東南	東南 ↘
東帝汶	東帝汶 🇹🇱
東正教	東正教 ☦
松	松 🎍
松樹	松樹 🌲
松鼠	松鼠 🐿
板札	板札 🙌
板栗	板栗 🌰
板球	板球 🏏
板球棒	板球棒 🏏
果嶺	果嶺 ⛳
果汁	果汁 🍹
果酒	果酒 🍸
枯萎	枯萎 🥀
枯葉	枯葉 🍂
枱曆	枱曆 📆
枱球	枱球 🎱
架空車道	架空車道 🚡
枷鎖	枷鎖 ⛓
柏樹	柏樹 🌳
某人	某人 👤
柑桔	柑桔 🍊
柑橘	柑橘 🍊
柔道	柔道 🥋
查德	查德 🇹🇩
查找	查找 🔍
柬埔寨	柬埔寨 🇰🇭
柱形圖	柱形圖 📊
柱狀圖	柱狀圖 📊
柵欄	柵欄 🚧
栗	栗 🌰
栗子	栗子 🌰
校巴	校巴 🚍
校車	校車 🚍
核子	核子 ⚛
核子能	核子能 ⚛
核武器	核武器 ☢
核輻射	核輻射 ☢
根息島	根息島 🇬🇬
根西	根西 🇬🇬
根西島	根西島 🇬🇬
格恩濟	格恩濟 🇬🇬
格恩西	格恩西 🇬🇬
格林納丁斯	格林納丁斯 🇻🇨
格林納達	格林納達 🇬🇩
格瑞那丁	格瑞那丁 🇻🇨
格瑞那達	格瑞那達 🇬🇩
格陵蘭	格陵蘭 🇬🇱
格魯吉亞	格魯吉亞 🇬🇪
桃	桃 🍑
桃子	桃子 🍑
桃花	桃花 🌸
桌球	桌球 🎱
桌遊	桌遊 🎴
桌遊卡	桌遊卡 🎴
桔	桔 🍊
梅利利亞	梅利利亞 🇪🇦
梅花	梅花 ♣ 🌸
條城	條城 🏯
條子	條子 👮
條形圖	條形圖 📊
梟	梟 🦉
梨	梨 🍐
梨子	梨子 🍐
梳化	梳化 🛋
梵婀玲	梵婀玲 🎻
梵蒂岡	梵蒂岡 🇻🇦
梵蒂岡城	梵蒂岡城 🇻🇦
梵鈴	梵鈴 🎻
棒	棒 😺
棒棒糖	棒棒糖 🍭
棒球	棒球 ⚾
棕櫚	棕櫚 🌴
棕熊	棕熊 🐻
森林	森林 🌲
棺	棺 ⚰
棺材	棺材 ⚰
椅	椅 💺
椅子	椅子 💺
椪柑	椪柑 🍊
椰子樹	椰子樹 🌴
椰樹	椰樹 🌴
楓	楓 🍁
楓葉	楓葉 🍁
極客	極客 🤓
槌	槌 ⚒ 💢 🔨 🛠
槍	槍 🔫
槓鈴	槓鈴 🏋
樂曲	樂曲 🎼
樂譜	樂譜 🎼
標簽	標簽 🏷 📑
標籤	標籤 📑
模里西斯	模里西斯 🇲🇺
樹	樹 🌲 🌳 🌴
樹木	樹木 🌲
樹苗	樹苗 🌱
樹袋熊	樹袋熊 🐨
樽	樽 🏺
橄欖枝	橄欖枝 🕊
橄欖球	橄欖球 🏈 🏉
橋	橋 🌉
橘子	橘子 🍊
橙	橙 🍊 🔶 🔸
橙子	橙子 🍊
橙皮書	橙皮書 📙
橙色	橙色 🔶 🔸
機動車	機動車 🚗 🚘
機器人	機器人 🤖
機械人	機械人 🤖
機車	機車 🚂
機靈	機靈 😉
檐蛇	檐蛇 🦎
檔案	檔案 🗃
檔案夾	檔案夾 📁
檔案櫃	檔案櫃 🗄
檔案盒	檔案盒 🗃
檔案箱	檔案箱 🗃
檔案袋	檔案袋 🗂
檢查	檢查 🛂 🛃
檢驗	檢驗 🛂 🛃
檯球	檯球 🎱
檸檬	檸檬 🍋
櫃	櫃 🗄
櫃員機	櫃員機 🏧
櫻桃	櫻桃 🍒
櫻花	櫻花 🌸
歎問號	歎問號 ⁉
歎氣	歎氣 😔
歎號	歎號 ‼ ⁉ ❕ ❗
歐元	歐元 💶
歐圓	歐圓 💶
歐洲	歐洲 🌍 🏤 🏰
歐洲聯盟	歐洲聯盟 🇪🇺
歐盟	歐盟 🇪🇺
歡呼	歡呼 🙋 🙌 🙌🏻 🙌🏼 🙌🏽 🙌🏾 🙌🏿
歡喜	歡喜 😁 😍 😻
歡慶	歡慶 🙌
歡迎	歡迎 🙋
正中紅心	正中紅心 🎯
正裝	正裝 👔
步行	步行 🚶 🚶🏻 🚶🏼 🚶🏽 🚶🏾 🚶🏿
歪	歪 😼
死	死 ☠ ⚰ ⚱ 💀
死定了	死定了 😾
死火山	死火山 🗻
死豬	死豬 🐖
殘	殘 🥀
殘月	殘月 🌘
殘疾	殘疾 ♿
殘疾人設施	殘疾人設施 ♿
殘陽	殘陽 🌇
母	母 👩 👩🏻 👩🏼 👩🏽 👩🏾 👩🏿
母母	母母 👩‍👩‍👦 👩‍👩‍👦‍👦 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👧‍👧
母羊	母羊 🐑
母親	母親 👩 👩🏻 👩🏼 👩🏽 👩🏾 👩🏿
母雞	母雞 🐔
比	比 🆚
比利時	比利時 🇧🇪
比基尼	比基尼 👙
比堅尼	比堅尼 👙
比薩	比薩 🍕
毛毛蟲	毛毛蟲 🐛
毛里塔尼亞	毛里塔尼亞 🇲🇷
毛里求斯	毛里求斯 🇲🇺
民主剛果	民主剛果 🇨🇩
民國	民國 🇹🇼
民工	民工 👷
氣旋	氣旋 🌀
氣泡	氣泡 💬 💭 🗨 🗯
氣球	氣球 🎈
氣餒	氣餒 🙁
氫彈	氫彈 ☢
水	水 💧 🚰
水族館	水族館 🐳
水晶球	水晶球 🔮
水滴	水滴 💦 💧
水牛	水牛 🐃
水球	水球 🤽 🤽🏻 🤽🏼 🤽🏽 🤽🏾 🤽🏿
水瓶	水瓶 ♒
水瓶座	水瓶座 ♒
水筆	水筆 🖋
水蜜桃	水蜜桃 🍑
求救	求救 🆘
汗	汗 😓 😥 😰 😿
汗滴	汗滴 💦
汙染	汙染 😷
江豚	江豚 🐡
污染	污染 😷
汶萊	汶萊 🇧🇳
汽艇	汽艇 🛥
汽車	汽車 🚗 🚘
沃里斯	沃里斯 🇼🇫
沃里斯與伏塔那島	沃里斯與伏塔那島 🇼🇫
沉思	沉思 😔 😞
沉默	沉默 😐 😶
沐浴	沐浴 🛁
沒了	沒了 😖
沒事的	沒事的 🤗
沒問題	沒問題 👌
沒想好	沒想好 😕
沒意思	沒意思 😴
沒戲	沒戲 😔
沒有新郵件	沒有新郵件 📬
沒有郵件	沒有郵件 📪
沒眼看	沒眼看 🙈
沒聽看	沒聽看 🙉
沒臉見人	沒臉見人 🙈
沒興趣	沒興趣 😌
沒説	沒説 🙊
沒錢	沒錢 💸
沒錢了	沒錢了 💸
沒門	沒門 🙅
沖	沖 💨
沖涼	沖涼 🚿 🛀 🛀🏻 🛀🏼 🛀🏽 🛀🏾 🛀🏿 🛁
沙冰	沙冰 🍧
沙律	沙律 🥗
沙漏	沙漏 ⌛ ⏳
沙漠	沙漠 🏜
沙灘	沙灘 🏖
沙灘傘	沙灘傘 ⛱
沙灘陽傘	沙灘陽傘 ⛱
沙烏地阿拉伯	沙烏地阿拉伯 🇸🇦
沙特	沙特 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
沙發	沙發 🛋
沮喪	沮喪 😔 😞 🙍
河豚	河豚 🐡
油	油 🛢
油桶	油桶 🛢
油泵	油泵 ⛽
油炸圈餅	油炸圈餅 🍩
油畫棒	油畫棒 🖍
油站	油站 ⛽
油筒	油筒 🛢
泊車	泊車 🅿
法國	法國 ⚜ 🇫🇷 🇬🇫 🇲🇫 🇲🇶 🇵🇫 🇹🇫
法國王室	法國王室 ⚜
法屬	法屬 🇬🇫 🇲🇫 🇲🇶 🇵🇫 🇹🇫
法屬南方屬地	法屬南方屬地 🇹🇫
法屬南部地區	法屬南部地區 🇹🇫
法屬南部屬地	法屬南部屬地 🇹🇫
法屬南部領地	法屬南部領地 🇹🇫
法屬圭亞那	法屬圭亞那 🇬🇫
法屬波利尼西亞	法屬波利尼西亞 🇵🇫
法屬玻里尼西亞	法屬玻里尼西亞 🇵🇫
法屬聖馬丁	法屬聖馬丁 🇲🇫
法屬馬丁尼克	法屬馬丁尼克 🇲🇶
法拉利	法拉利 🏎
法羅群島	法羅群島 🇫🇴
法蘭西	法蘭西 ⚜
法輪	法輪 ☸
法輪功	法輪功 ☸
法輪大法	法輪大法 ☸
波利尼西亞	波利尼西亞 🇵🇫
波利維亞	波利維亞 🇧🇴
波士尼亞赫塞哥維納	波士尼亞赫塞哥維納 🇧🇦
波多黎各	波多黎各 🇵🇷
波奈	波奈 🇧🇶
波斯尼亞和黑塞哥維納	波斯尼亞和黑塞哥維納 🇧🇦
波斯尼亞和黑塞哥維那	波斯尼亞和黑塞哥維那 🇧🇦
波札那	波札那 🇧🇼
波浪	波浪 〰 🌊
波浪號	波浪號 〰
波羅	波羅 🍍
波蘭	波蘭 🇵🇱
波赫	波赫 🇧🇦
波黑	波黑 🇧🇦
注射	注射 💉
注目	注目 👁
注視	注視 👁
泰國	泰國 🇹🇭
泳	泳 🏊 🏊🏻 🏊🏼 🏊🏽 🏊🏾 🏊🏿
泳衣	泳衣 👙
泳裝	泳裝 👙
洋服	洋服 🕴
洗手間	洗手間 🚹 🚺 🚻 🚼 🚾
洗浴	洗浴 🛁
洗澡	洗澡 🛁
洗白白	洗白白 🚿
洞	洞 🕳
津巴布韋	津巴布韋 🇿🇼
洪都拉斯	洪都拉斯 🇭🇳
流口水	流口水 🤤
流星	流星 🌠
流星雨	流星雨 🌠
流汗	流汗 😅 😓 😰
流淚	流淚 😭
浪	浪 🌊
浴缸	浴缸 🛀 🛀🏻 🛀🏼 🛀🏽 🛀🏾 🛀🏿 🛁
海上日出	海上日出 🌅
海嘯	海嘯 🌊
海地	海地 🇭🇹
海島	海島 🏝
海底世界	海底世界 🐳
海棠	海棠 🌺
海洋世界	海洋世界 🐳
海浪	海浪 🌊
海灘	海灘 🏖
海產	海產 🐟
海螺	海螺 🐚
海豚	海豚 🐬
海邊	海邊 🏖
海關	海關 🛂 🛃
海鮮	海鮮 🐟
消息	消息 💬 🗨
消遣	消遣 🚙
消防	消防 🚒
消防車	消防車 🚒
涼	涼 🆒
涼鞋	涼鞋 👡
淋浴	淋浴 🚿
淚	淚 😢 😭 😹 😿
深夜	深夜 🌃
混亂	混亂 😕 😖 🙃
混淆	混淆 😖
淺笑	淺笑 🙂
清	清 👲 👲🏻 👲🏼 👲🏽 👲🏾 👲🏿
清晨	清晨 🌄
清真	清真 🕋 🕌
清真寺	清真寺 🕋 🕌
清空	清空 🆑
清除	清除 🆑
減	減 ➖
渡口	渡口 ⛴
渡輪	渡輪 ⛴
游水	游水 🏊 🏊🏻 🏊🏼 🏊🏽 🏊🏾 🏊🏿
游泳	游泳 🏊 🏊🏻 🏊🏼 🏊🏽 🏊🏾 🏊🏿 👙
湯加	湯加 🇹🇴
湯麵	湯麵 🍜
満	満 🈵
準確	準確 🎯
溜冰	溜冰 ⛸
溜冰鞋	溜冰鞋 ⛸
溫度計	溫度計 🌡 🤒
溫泉	溫泉 ♨
滋味	滋味 😋
滑冰	滑冰 ⛸
滑動	滑動 🎚
滑動開關	滑動開關 🎚
滑板	滑板 🎨 🛴
滑板車	滑板車 🛴
滑桿	滑桿 🎚
滑浪	滑浪 🏄 🏄🏻 🏄🏼 🏄🏽 🏄🏾 🏄🏿
滑雪	滑雪 ⛷ 🎿 🏂
滑雪板	滑雪板 🎿 🏂
滑鼠	滑鼠 🖱
滴	滴 💧
滷煮	滷煮 🍢
滾	滾 😛
滾犢子	滾犢子 😛
滿	滿 🈵 👲 👲🏻 👲🏼 👲🏽 👲🏾 👲🏿
滿分	滿分 💯
滿月	滿月 🌕 🌝
漁	漁 🎣
漂亮	漂亮 😻
演説	演説 🗣
演講	演講 🗣
漢堡	漢堡 🍔
漢堡包	漢堡包 🍔
漢服	漢服 👘
漫步	漫步 🚶
漲	漲 📈
潑	潑 💦
澡盆	澡盆 🛁
澤西	澤西 🇯🇪
澤西島	澤西島 🇯🇪
澳大利亞	澳大利亞 🇦🇺
澳洲	澳洲 🇦🇺 🌏
澳門	澳門 🇲🇴
激動	激動 💖 💗
濺	濺 💦
灌木	灌木 🌳
灑	灑 💦
灑水	灑水 💦
火	火 🔥
火山	火山 🌋
火山噴發	火山噴發 🌋
火焰	火焰 🔥
火燭	火燭 🚒
火燭車	火燭車 🚒
火箭	火箭 🚀
火花	火花 ✨ 💖 💥
火苗	火苗 🔥
火著	火著 🔥
火警	火警 🚨
火車	火車 🚂 🚃 🚅 🚆
火車站	火車站 🚉
火車頭	火車頭 🚂 🚅 🚆 🚝
火鍋	火鍋 🍲
火雞	火雞 🦃
灰心	灰心 😔 😞
灰老鼠	灰老鼠 🐀
灰鼠	灰鼠 🐀
炸彈	炸彈 💣
炸蝦	炸蝦 🍤
為何	為何 🤔
為啥	為啥 🤔
為甚麼	為甚麼 🤔
烏克蘭	烏克蘭 🇺🇦
烏干達	烏干達 🇺🇬
烏幹達	烏幹達 🇺🇬
烏拉圭	烏拉圭 🇺🇾
烏茲別克	烏茲別克 🇺🇿
烏茲別克斯坦	烏茲別克斯坦 🇺🇿
烏賊	烏賊 🦑
烏龜	烏龜 🐢
烤地瓜	烤地瓜 🍠
烤紅薯	烤紅薯 🍠
烤肉	烤肉 🥙
烤薄餅	烤薄餅 🍕
烤雞腿	烤雞腿 🍖
烹飪	烹飪 🍳
無	無 🈚
無助	無助 🙍
無所謂	無所謂 😌
無望	無望 🙍
無神論	無神論 ⚛
無線電	無線電 📻
無聊	無聊 😴
無語	無語 💬
無軌	無軌 🚎
無軌電車	無軌電車 🚎
無辜	無辜 😐
無郵件	無郵件 📪
無障礙	無障礙 ♿
無障礙設施	無障礙設施 ♿
焦糖奶油	焦糖奶油 🍮
焰火	焰火 🎆 🎇
煎	煎 🍳
煎蛋	煎蛋 🍳
煎雞蛋	煎雞蛋 🍳
煎餅	煎餅 🥞
煙	煙 🚬
煙囪	煙囪 🏭
煙火	煙火 🎆 🎇
煙燻	煙燻 🥓
煙肉	煙肉 🥓
煙花	煙花 🎆 🎇
煙草	煙草 🚬
照片	照片 🖼
照相	照相 📸
照相機	照相機 📷
煨番薯	煨番薯 🍠
煮	煮 🍲 🍳 🥘
煲	煲 🍲 🥘
熄機	熄機 📴
熊	熊 🐻 🐨
熊市	熊市 📉
熊貓	熊貓 🐼
熱帶	熱帶 🍹
熱帶飲料	熱帶飲料 🍹
熱帶魚	熱帶魚 🐠
熱戀中	熱戀中 💑
熱狗	熱狗 🌭
熱茶	熱茶 ☕ 🍵
熱飲	熱飲 ☕ 🍵
燈	燈 💡 🛋
燈柱	燈柱 🚨
燈泡	燈泡 💡
燈籠	燈籠 🏮
燈臺	燈臺 🕎
燉	燉 🍲
燒火	燒火 🔥
燒瓶	燒瓶 ⚗
燒著	燒著 🔥
營	營 🈺
燭光	燭光 🕯
燭臺	燭臺 🕎
爆炸	爆炸 💥
爆穀	爆穀 🍿
爆米花	爆米花 🍿
爆谷	爆谷 🍿
爛	爛 👎
爛屋	爛屋 🏚
爛房子	爛房子 🏚
爛玩意	爛玩意 😒
爛玩意兒	爛玩意兒 😒
爬山	爬山 🚵 🚵🏻 🚵🏼 🚵🏽 🚵🏾 🚵🏿
爬泳	爬泳 🏊
爬行	爬行 🦎
爬行動物	爬行動物 🦎
父	父 👨 👨🏻 👨🏼 👨🏽 👨🏾 👨🏿
父母	父母 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👪
